#tcid basin year tc month timestep lon lat vmax pmin rmw r18
336 NA 50 0 9 0 -59.086 20.3281 34.24 999.29 40.2 95.7
336 NA 50 0 9 1 -59.6455 20.3621 32.92 1000.75 39.7 104.3
336 NA 50 0 9 2 -60.1748 20.4115 31.7 1002.09 39.2 113.0
336 NA 50 0 9 3 -60.6842 20.4881 30.57 1003.29 38.7 121.6
336 NA 50 0 9 4 -61.1636 20.595 29.52 1004.36 38.1 130.2
336 NA 50 0 9 5 -61.6305 20.7292 28.53 1005.5 37.6 138.8
336 NA 50 0 9 6 -62.0525 20.8785 27.61 1006.41 37.1 147.4
336 NA 50 0 9 7 -62.4121 20.9976 26.75 1007.19 36.6 156.0
336 NA 50 0 9 8 -62.7413 21.162 25.94 1008.06 36.1 164.6
336 NA 50 0 9 9 -63.0931 21.4387 25.17 1008.71 35.6 173.3
336 NA 50 0 9 10 -63.4301 21.7455 24.45 1010.15 35.6 157.1
336 NA 50 0 9 11 -63.7322 21.9871 23.77 1011.44 35.6 138.6
336 NA 50 0 9 12 -64.0189 22.2289 23.13 1012.83 35.6 122.7
336 NA 50 0 9 13 -64.3134 22.5131 22.52 1013.87 35.6 109.0
336 NA 50 0 9 14 -64.6077 22.8124 21.94 1015.03 35.6 97.1
336 NA 50 0 9 15 -64.8949 23.0891 21.4 1015.88 35.6 86.8
336 NA 50 0 9 16 -65.1966 23.3959 20.87 1016.82 35.6 77.8
336 NA 50 0 9 17 -65.5483 23.7802 20.38 1017.74 35.6 69.9
336 NA 50 0 9 18 -65.8854 24.1794 19.9 1018.52 35.6 62.9
336 NA 50 0 9 19 -66.1376 24.5285 19.45 1019.1 35.6 56.8
336 NA 50 0 9 20 -66.3742 24.8629 19.02 1019.86 35.6 51.4
336 NA 50 0 9 21 -66.6612 25.1971 18.6 1020.5 35.6 46.6
336 NA 50 0 9 22 -66.963 25.5463 18.21 1021.02 35.6 42.4
336 NA 50 0 9 23 -67.2576 25.923 17.83 1021.57 35.6 38.6
337 NA 50 1 8 0 -35.6382 35.4489 45.67 973.35 5.0 47.6
337 NA 50 1 8 1 -34.4573 35.9577 39.53 982.13 7.7 58.2
337 NA 50 1 8 2 -33.2988 36.6383 34.84 988.28 10.3 68.7
337 NA 50 1 8 3 -31.9599 37.5023 31.15 992.83 13.0 79.3
337 NA 50 1 8 4 -30.5594 38.4276 28.16 996.17 15.7 89.9
337 NA 50 1 8 5 -29.1908 39.2052 25.7 998.68 18.3 100.5
337 NA 50 1 8 6 -27.8199 40.017 23.63 1001.7 18.3 76.8
337 NA 50 1 8 7 -26.4198 40.9795 21.87 1004.09 18.3 53.1
337 NA 50 1 8 8 -24.9805 42.0063 20.36 1005.82 18.3 37.7
337 NA 50 1 8 9 -23.4879 43.0156 19.04 1007.06 18.3 27.4
337 NA 50 1 8 10 -21.9411 43.9957 17.88 1007.94 18.3 20.3
338 NA 50 2 10 0 -83.853 12.3915 41.48 975.09 13.5 64.9
338 NA 50 2 10 1 -84.283 12.3246 34.95 983.03 20.8 122.8
338 NA 50 2 10 2 -84.9019 12.2961 30.19 988.23 28.1 180.6
338 NA 50 2 10 3 -85.6114 12.2907 26.58 991.47 35.4 238.5
338 NA 50 2 10 4 -86.1906 12.2736 23.73 994.43 42.7 223.5
338 NA 50 2 10 5 -86.7398 12.2568 21.44 999.93 42.7 128.7
338 NA 50 2 10 6 -87.2989 12.24 19.55 1003.48 42.7 78.0
338 NA 50 2 10 7 -87.8681 12.2229 17.97 1006.2 42.7 49.3
338 NA 50 2 10 8 -88.4897 12.3059 17.59 1006.8 42.7 43.9
339 NA 50 3 9 0 -92.3141 20.0993 45.87 955.15 31.4 209.5
339 NA 50 3 9 1 -92.2593 20.1764 44.39 957.6 32.2 207.1
339 NA 50 3 9 2 -92.2647 20.2685 43.01 959.73 33.0 204.6
339 NA 50 3 9 3 -92.275 20.3181 41.71 961.72 33.8 202.2
339 NA 50 3 9 4 -92.3153 20.3378 40.49 963.59 34.6 199.8
339 NA 50 3 9 5 -92.3831 20.3299 39.34 965.34 35.4 197.3
339 NA 50 3 9 6 -92.4659 20.307 38.25 966.99 36.2 194.9
339 NA 50 3 9 7 -92.5337 20.2916 37.22 968.53 37.0 192.5
339 NA 50 3 9 8 -92.6165 20.2762 36.24 969.99 37.7 190.0
339 NA 50 3 9 9 -92.7343 20.2533 35.32 971.36 38.5 187.6
339 NA 50 3 9 10 -92.8671 20.2455 34.44 972.66 39.3 185.2
339 NA 50 3 9 11 -92.9924 20.28 33.6 973.88 40.1 182.7
339 NA 50 3 9 12 -93.1177 20.3147 32.8 975.03 40.9 180.3
339 NA 50 3 9 13 -93.2356 20.3067 32.04 976.14 41.7 177.9
339 NA 50 3 9 14 -93.3683 20.2839 31.32 977.2 42.5 175.4
339 NA 50 3 9 15 -93.5211 20.2759 30.62 978.2 43.3 173.0
339 NA 50 3 9 16 -93.719 20.2531 29.96 979.2 44.1 170.6
339 NA 50 3 9 17 -93.957 20.1651 29.32 980.13 44.9 168.1
339 NA 50 3 9 18 -94.2696 20.1224 28.71 980.98 45.6 165.7
339 NA 50 3 9 19 -94.6825 20.2287 28.13 981.95 46.4 163.3
339 NA 50 3 9 20 -95.1202 20.3916 27.57 982.72 47.2 160.8
339 NA 50 3 9 21 -95.5173 20.5463 27.03 983.54 48.0 158.4
339 NA 50 3 9 22 -95.7708 20.5608 26.51 984.38 48.8 156.0
339 NA 50 3 9 23 -95.9889 20.5384 26.01 985.1 49.6 153.6
339 NA 50 3 9 24 -96.2214 20.53 25.53 985.86 50.4 151.1
339 NA 50 3 9 25 -96.4967 20.5647 25.07 986.51 51.2 148.7
339 NA 50 3 9 26 -96.7733 20.5983 24.62 987.44 51.2 142.0
339 NA 50 3 9 27 -97.0511 20.6309 24.19 988.15 51.2 134.7
339 NA 50 3 9 28 -97.3301 20.6624 23.77 989.07 51.2 127.9
339 NA 50 3 9 29 -97.6107 20.6921 23.37 989.75 51.2 121.6
340 NA 50 4 9 0 -64.2383 24.8 51.78 952.31 28.9 135.1
340 NA 50 4 9 1 -64.5501 25.1721 49.86 955.47 29.4 134.3
340 NA 50 4 9 2 -64.8915 25.4992 48.07 958.18 29.9 133.4
340 NA 50 4 9 3 -65.2334 25.7988 46.41 960.79 30.4 132.5
340 NA 50 4 9 4 -65.5448 26.0984 44.86 963.13 30.9 131.6
340 NA 50 4 9 5 -65.779 26.4553 43.41 965.35 31.3 130.7
340 NA 50 4 9 6 -65.998 26.7977 42.05 967.46 31.8 129.9
340 NA 50 4 9 7 -66.2674 27.0548 40.77 969.25 32.3 129.0
340 NA 50 4 9 8 -66.5512 27.2969 39.57 971.1 32.8 128.1
340 NA 50 4 9 9 -66.8206 27.5814 38.44 972.64 33.3 127.2
340 NA 50 4 9 10 -67.1045 27.8962 37.37 974.25 33.8 126.3
340 NA 50 4 9 11 -67.4162 28.2381 36.36 975.69 34.3 125.5
340 NA 50 4 9 12 -67.7577 28.5954 35.4 976.91 34.8 124.6
340 NA 50 4 9 13 -68.1495 28.9226 34.49 978.18 35.3 123.7
340 NA 50 4 9 14 -68.5109 29.2946 33.62 979.43 35.8 122.8
340 NA 50 4 9 15 -68.79 29.7492 32.8 980.53 36.2 121.9
340 NA 50 4 9 16 -68.9641 30.2939 32.02 981.6 36.7 121.1
340 NA 50 4 9 17 -69.0286 30.9134 31.27 982.6 37.2 120.2
340 NA 50 4 9 18 -69.0174 31.5931 30.56 983.53 37.7 119.3
340 NA 50 4 9 19 -69.0237 32.2852 29.88 984.48 38.2 118.4
340 NA 50 4 9 20 -68.9706 32.9923 29.23 985.29 38.7 117.5
340 NA 50 4 9 21 -68.8492 33.6769 28.61 986.1 39.2 116.7
340 NA 50 4 9 22 -68.6238 34.3916 28.01 986.87 39.7 115.8
340 NA 50 4 9 23 -68.3099 35.176 27.44 987.54 40.2 114.9
340 NA 50 4 9 24 -67.8771 35.9908 26.89 988.19 40.7 114.0
340 NA 50 4 9 25 -67.3556 36.7977 26.36 988.81 41.2 113.1
340 NA 50 4 9 26 -66.7303 37.5901 25.85 989.39 41.6 112.3
340 NA 50 4 9 27 -66.1163 38.3527 25.37 990.01 42.1 111.4
340 NA 50 4 9 28 -65.2835 39.0893 24.9 990.6 42.6 109.3
340 NA 50 4 9 29 -64.1667 39.8003 24.44 991.26 42.6 104.0
340 NA 50 4 9 30 -62.6367 40.4885 24.0 991.86 42.6 99.1
340 NA 50 4 9 31 -60.6536 41.1464 23.58 992.43 42.6 94.6
340 NA 50 4 9 32 -58.39 41.7878 23.18 992.96 42.6 90.3
340 NA 50 4 9 33 -56.2141 42.4221 22.78 993.5 42.6 86.2
340 NA 50 4 9 34 -53.8432 43.087 22.4 994.04 42.6 82.4
340 NA 50 4 9 35 -51.1922 43.7257 22.03 994.44 42.6 78.9
340 NA 50 4 9 36 -48.1964 44.4863 21.68 994.94 42.6 75.5
341 NA 50 5 9 0 -49.8384 38.412 41.51 970.79 44.7 150.7
341 NA 50 5 9 1 -49.721 38.4753 39.4 973.49 47.0 163.2
341 NA 50 5 9 2 -49.6335 38.5387 37.5 975.85 49.2 175.8
341 NA 50 5 9 3 -49.581 38.567 35.77 977.95 51.5 188.3
341 NA 50 5 9 4 -49.5286 38.5654 34.2 979.77 53.7 200.8
341 NA 50 5 9 5 -49.4185 38.5363 32.76 981.39 56.0 213.3
341 NA 50 5 9 6 -49.3236 38.4921 31.43 982.82 58.3 225.8
341 NA 50 5 9 7 -49.2987 38.448 30.21 984.09 60.5 238.3
341 NA 50 5 9 8 -49.3187 38.4188 29.08 985.22 62.8 250.9
341 NA 50 5 9 9 -49.3512 38.4322 28.03 986.22 65.0 263.4
341 NA 50 5 9 10 -49.4138 38.4455 27.05 987.11 67.3 275.9
341 NA 50 5 9 11 -49.5114 38.4089 26.14 987.92 69.6 288.4
341 NA 50 5 9 12 -49.6089 38.3722 25.29 988.64 71.8 300.9
341 NA 50 5 9 13 -49.6639 38.3781 24.49 990.3 71.8 277.1
341 NA 50 5 9 14 -49.7039 38.399 23.74 992.19 71.8 244.6
341 NA 50 5 9 15 -49.7439 38.4198 23.04 993.88 71.8 216.7
341 NA 50 5 9 16 -49.799 38.4257 22.37 995.4 71.8 192.7
341 NA 50 5 9 17 -49.8966 38.404 21.75 996.79 71.8 171.9
341 NA 50 5 9 18 -49.9941 38.3524 21.16 998.05 71.8 153.9
341 NA 50 5 9 19 -50.034 38.2882 20.59 999.2 71.8 138.1
341 NA 50 5 9 20 -50.0892 38.1791 20.06 1000.26 71.8 124.3
341 NA 50 5 9 21 -50.2444 38.015 19.56 1001.27 71.8 112.2
341 NA 50 5 9 22 -50.3842 37.8058 19.08 1002.19 71.8 101.6
341 NA 50 5 9 23 -50.4041 37.5841 18.62 1003.12 71.8 92.1
341 NA 50 5 9 24 -50.3793 37.3325 18.18 1003.92 71.8 83.8
341 NA 50 5 9 25 -50.3768 37.0533 17.77 1004.74 71.8 76.3
342 NA 50 6 9 0 -70.4746 24.5554 36.82 967.07 17.0 101.9
342 NA 50 6 9 1 -71.0051 25.0868 35.09 969.03 21.2 117.0
342 NA 50 6 9 2 -71.5508 25.6032 33.51 970.74 25.4 132.1
342 NA 50 6 9 3 -72.0471 26.0344 32.06 972.26 29.6 147.2
342 NA 50 6 9 4 -72.5269 26.4511 30.74 973.6 33.8 162.3
342 NA 50 6 9 5 -73.0155 26.9024 29.52 974.77 38.0 177.4
342 NA 50 6 9 6 -73.5031 27.399 28.39 975.78 42.2 192.6
342 NA 50 6 9 7 -74.0284 27.9581 27.35 976.64 46.4 207.7
342 NA 50 6 9 8 -74.4792 28.5468 26.38 977.38 50.6 222.8
342 NA 50 6 9 9 -74.7411 29.0978 25.48 978.03 54.8 237.9
342 NA 50 6 9 10 -74.9554 29.6947 24.63 979.15 59.0 238.1
342 NA 50 6 9 11 -75.3445 30.3665 23.84 980.91 59.0 208.5
342 NA 50 6 9 12 -75.6315 31.1426 23.1 982.52 59.0 183.3
342 NA 50 6 9 13 -75.6056 32.0068 22.41 983.99 59.0 161.8
342 NA 50 6 9 14 -75.4077 32.9904 21.75 985.32 59.0 143.3
342 NA 50 6 9 15 -75.2932 33.889 21.13 986.55 59.0 127.4
342 NA 50 6 9 16 -74.8839 35.3383 20.55 987.81 59.0 113.6
342 NA 50 6 9 17 -74.3947 36.8817 20.0 988.97 59.0 101.7
342 NA 50 6 9 18 -73.86 38.2862 19.47 989.93 59.0 91.2
342 NA 50 6 9 19 -72.9423 39.913 18.98 990.62 59.0 82.1
342 NA 50 6 9 20 -72.1362 41.834 18.51 991.1 59.0 74.1
342 NA 50 6 9 21 -70.8449 43.7604 18.06 990.98 59.0 67.0
343 NA 50 7 7 0 -70.7275 22.7199 36.82 989.45 66.9 158.7
343 NA 50 7 7 1 -71.5639 23.3477 34.81 991.77 77.0 176.0
343 NA 50 7 7 2 -72.3693 23.976 33.02 993.65 87.2 193.3
343 NA 50 7 7 3 -73.1131 24.6186 31.4 995.35 97.4 210.7
343 NA 50 7 7 4 -73.8111 25.2321 29.93 996.87 107.6 228.0
343 NA 50 7 7 5 -74.4977 25.7749 28.6 998.07 117.8 245.4
343 NA 50 7 7 6 -75.1529 26.2883 27.37 998.94 128.0 262.7
343 NA 50 7 7 7 -75.8412 26.809 26.25 999.74 138.1 280.0
343 NA 50 7 7 8 -76.3947 27.3444 25.22 1000.37 148.3 297.4
343 NA 50 7 7 9 -76.6691 27.9069 24.26 1001.86 148.3 280.5
343 NA 50 7 7 10 -76.8365 28.5005 23.38 1003.43 148.3 260.9
343 NA 50 7 7 11 -77.1146 29.1436 22.55 1004.77 148.3 243.2
343 NA 50 7 7 12 -77.3783 29.7566 21.79 1005.84 148.3 227.4
343 NA 50 7 7 13 -77.5425 30.2495 21.07 1006.94 148.3 213.0
343 NA 50 7 7 14 -77.7201 30.7127 20.4 1007.78 148.3 200.0
343 NA 50 7 7 15 -78.0332 31.241 19.77 1008.63 148.3 188.1
343 NA 50 7 7 16 -78.3619 31.7689 19.18 1009.25 148.3 177.3
343 NA 50 7 7 17 -78.613 32.2619 18.62 1009.94 148.3 167.4
343 NA 50 7 7 18 -78.8036 32.725 18.09 1010.45 148.3 158.3
343 NA 50 7 7 19 -78.9398 33.1755 17.59 1011.0 148.3 149.9
344 NA 50 8 9 0 -45.5462 28.7992 67.71 925.66 40.5 350.4
344 NA 50 8 9 1 -45.0348 29.2318 65.92 929.08 40.8 346.3
344 NA 50 8 9 2 -44.4341 29.6192 64.22 932.2 41.1 342.3
344 NA 50 8 9 3 -43.8581 30.0662 62.61 935.2 41.4 338.2
344 NA 50 8 9 4 -43.2219 30.4392 61.08 938.04 41.7 334.2
344 NA 50 8 9 5 -42.48 30.6368 59.62 940.78 41.9 330.1
344 NA 50 8 9 6 -41.7097 30.7593 58.22 943.29 42.2 326.1
344 NA 50 8 9 7 -41.0334 30.9256 56.9 945.69 42.5 322.0
344 NA 50 8 9 8 -40.2975 31.0793 55.63 947.94 42.8 318.0
344 NA 50 8 9 9 -39.3782 31.1819 54.42 950.17 43.1 313.9
344 NA 50 8 9 10 -38.3854 31.2993 53.25 952.22 43.4 309.9
344 NA 50 8 9 11 -37.4078 31.5241 52.14 954.16 43.7 305.8
344 NA 50 8 9 12 -36.4732 31.7193 51.07 956.04 43.9 301.8
344 NA 50 8 9 13 -35.613 31.7214 50.05 957.82 44.2 297.7
344 NA 50 8 9 14 -34.861 31.7394 49.06 959.51 44.5 293.6
344 NA 50 8 9 15 -34.247 31.9383 48.12 961.09 44.8 289.6
344 NA 50 8 9 16 -33.6488 32.2594 47.21 962.62 45.1 285.5
344 NA 50 8 9 17 -32.8708 32.6401 46.33 964.06 45.4 281.5
344 NA 50 8 9 18 -32.1367 33.0794 45.49 965.41 45.7 277.4
344 NA 50 8 9 19 -31.5978 33.539 44.67 966.71 46.0 273.4
344 NA 50 8 9 20 -31.2245 33.9995 43.89 967.95 46.2 269.3
344 NA 50 8 9 21 -30.9729 34.4542 43.13 969.14 46.5 265.3
344 NA 50 8 9 22 -30.8123 34.8195 42.39 970.29 46.8 261.2
344 NA 50 8 9 23 -30.641 35.047 41.69 971.42 47.1 257.2
344 NA 50 8 9 24 -30.5001 35.1395 41.0 972.54 47.4 253.1
